Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
SERENDIPITER,DEPARTURE,Port,LOS ANGELES,2021-11-16 16:01 UTC,18h 14m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
DELTA TERESA,DEPARTURE,Port,LOS ANGELES,2021-11-16 15:38 UTC,19h 16m,Not in Transit,Other Special Craft,OTHER MARKETS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-16 14:52 UTC,1d 2h 26m,Not in Transit,Tug,SUPPORTING VESSELS
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-16 14:41 UTC,16h 59m,Not in Transit,Other Special Craft,OTHER MARKETS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-16 09:22 UTC,1d 4h 11m,Not in Transit,Other Special Craft,OTHER MARKETS
CORPUS CHRISTI,DEPARTURE,Port,LOS ANGELES,2021-11-16 05:17 UTC,1d 11h 2m,Not in Transit,Tug,SUPPORTING VESSELS
LAGUNA,DEPARTURE,Port,LOS ANGELES,2021-11-16 00:43 UTC,20h 57m,Not in Transit,Other Special Craft,OTHER MARKETS
GLADYS S,DEPARTURE,Port,LOS ANGELES,2021-11-16 00:09 UTC,2d 26m,Not in Transit,Other Passenger,PASSENGER SHIPS
LIBBY,DEPARTURE,Port,LOS ANGELES,2021-11-16 21:10 UTC,36d 3h 49m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
MICHELLE SLOAN,DEPARTURE,Port,LOS ANGELES,2021-11-16 19:55 UTC,3d 20h 59m,Not in Transit,Tug,SUPPORTING VESSELS
ELSA,DEPARTURE,Port,LOS ANGELES,2021-11-16 19:52 UTC,7d 3h 6m,Not in Transit,Other Special Craft,OTHER MARKETS
NIGHTHAWK,DEPARTURE,Port,LOS ANGELES,2021-11-16 18:46 UTC,34d 2h 37m,Not in Transit,Unspecified,OTHER MARKETS
CGGEORGE CO,DEPARTURE,Port,LOS ANGELES,2021-11-16 18:10 UTC,32d 15h 29m,Not in Transit,Special Craft,OTHER MARKETS
BAYWATCH19,DEPARTURE,Port,LOS ANGELES,2021-11-16 17:29 UTC,2d 16h 25m,Not in Transit,Unspecified,OTHER MARKETS
MAJESTICPRINCESS RBP,DEPARTURE,Port,LOS ANGELES,2021-11-16 17:17 UTC,16d 19h 2m,Not in Transit,Search & Rescue,SUPPORTING VESSELS
CALIFORNIA RESPONDER,DEPARTURE,Port,LOS ANGELES,2021-11-16 16:28 UTC,20d 20h 47m,Not in Transit,Pollution Control Vessel,SUPPORTING VESSELS
PRISTINE,DEPARTURE,Port,LOS ANGELES,2021-11-16 15:24 UTC,13d 14h 4m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
ORCA I,DEPARTURE,Port,LOS ANGELES,2021-11-16 12:51 UTC,2d 14h 9m,Not in Transit,Other Cargo,DRY BREAKBULK
ELMER M,DEPARTURE,Port,LOS ANGELES,2021-11-16 11:10 UTC,6d 17h 43m,Not in Transit,Other Special Craft,OTHER MARKETS
GERD MAERSK,DEPARTURE,Port,LOS ANGELES,2021-11-16 01:12 UTC,10d 7h 44m,Not in Transit,Container Ship,CONTAINER SHIPS
CATALINA PROVIDER,DEPARTURE,Port,LOS ANGELES,2021-11-16 00:24 UTC,2d 17h 36m,Not in Transit,Other Cargo,DRY BREAKBULK
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-16 00:07 UTC,3d 10h 2m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
CATALINA EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-17 23:16 UTC,2h 36m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
JEFFREY M,DEPARTURE,Port,LOS ANGELES,2021-11-17 22:38 UTC,3h 31m,Not in Transit,Other Special Craft,OTHER MARKETS
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-17 22:20 UTC,49m,Not in Transit,Other Passenger,PASSENGER SHIPS
SEANA C,DEPARTURE,Port,LOS ANGELES,2021-11-17 22:18 UTC,2h 56m,Not in Transit,Other Special Craft,OTHER MARKETS
J CREW,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:59 UTC,48m,In Transit,Other Pleasure Craft,PLEASURE CRAFT
