Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
LIAN DA 11,DEPARTURE,Port,SHANGHAI,2021-11-24 04:39 UTC,1h 24m,In Transit,Other Cargo,DRY BREAKBULK
JIAO HANG 96,DEPARTURE,Port,SHANGHAI,2021-11-24 04:37 UTC,1h 48m,In Transit,Other Cargo,DRY BREAKBULK
HAIXUN01014,DEPARTURE,Port,SHANGHAI,2021-11-24 04:35 UTC,1h 24m,In Transit,Other Special Craft,OTHER MARKETS
WUHUJINHANG019,DEPARTURE,Port,SHANGHAI,2021-11-24 04:34 UTC,1h 58m,In Transit,Other Cargo,DRY BREAKBULK
XINRUIDA2688,DEPARTURE,Port,SHANGHAI,2021-11-24 04:34 UTC,1h 29m,In Transit,Other Cargo,DRY BREAKBULK
YU YUAN 8,DEPARTURE,Port,SHANGHAI,2021-11-24 04:31 UTC,1h 42m,In Transit,Other Cargo,DRY BREAKBULK
HEFEIRENHE6666,DEPARTURE,Port,SHANGHAI,2021-11-24 04:30 UTC,1h 34m,In Transit,Other Cargo,DRY BREAKBULK
WANCHANGSHENGHAO,DEPARTURE,Port,SHANGHAI,2021-11-24 04:29 UTC,1h 40m,In Transit,Other Cargo,DRY BREAKBULK
SUSHUNFAHUO1168,DEPARTURE,Port,SHANGHAI,2021-11-24 04:29 UTC,1h 56m,In Transit,Other Cargo,DRY BREAKBULK
ZHEHUZHOUHUO5873,DEPARTURE,Port,SHANGHAI,2021-11-24 04:28 UTC,1h 52m,In Transit,Other Cargo,DRY BREAKBULK
SUHUAIHUO19588,DEPARTURE,Port,SHANGHAI,2021-11-24 04:27 UTC,1h 56m,In Transit,Other Cargo,DRY BREAKBULK
ZHEJIASHANCAO516,DEPARTURE,Port,SHANGHAI,2021-11-24 04:21 UTC,2h ,In Transit,Other Cargo,DRY BREAKBULK
WANHUAIYUANHUO3599,DEPARTURE,Port,SHANGHAI,2021-11-24 04:20 UTC,1h 49m,In Transit,Other Cargo,DRY BREAKBULK
YINTONG898,DEPARTURE,Port,SHANGHAI,2021-11-24 04:17 UTC,1h 40m,In Transit,Other Cargo,DRY BREAKBULK
ZHONG CHENG 69,DEPARTURE,Port,SHANGHAI,2021-11-24 04:10 UTC,1h 44m,In Transit,Other Cargo,DRY BREAKBULK
HAIXUN01704,DEPARTURE,Port,SHANGHAI,2021-11-24 04:09 UTC,1h 14m,In Transit,Other Special Craft,OTHER MARKETS
CHUANGYE1289,DEPARTURE,Port,SHANGHAI,2021-11-24 04:07 UTC,1h 51m,In Transit,Other Cargo,DRY BREAKBULK
ZHEHUZHOUHUO5653,DEPARTURE,Port,SHANGHAI,2021-11-24 04:02 UTC,1h 39m,In Transit,Other Cargo,DRY BREAKBULK
HUA FA 898,DEPARTURE,Port,SHANGHAI,2021-11-24 03:59 UTC,1h 11m,In Transit,Other Cargo,DRY BREAKBULK
ZHENWEIYOU86,DEPARTURE,Port,SHANGHAI,2021-11-24 03:57 UTC,1h 52m,In Transit,Other Cargo,DRY BREAKBULK
FEI YI 16,DEPARTURE,Port,SHANGHAI,2021-11-24 03:50 UTC,1h 57m,Not in Transit,High Speed Craft,PASSENGER SHIPS
ZHOU QIAO 2,DEPARTURE,Port,SHANGHAI,2021-11-24 03:49 UTC,1h 13m,Not in Transit,Ro-Ro/Passenger Vessel,PASSENGER SHIPS
XINHENG19,DEPARTURE,Port,SHANGHAI,2021-11-24 03:41 UTC,1h 6m,In Transit,Other Cargo,DRY BREAKBULK
WANQIANGSHENG662,DEPARTURE,Port,SHANGHAI,2021-11-24 03:40 UTC,1h 26m,In Transit,Other Cargo,DRY BREAKBULK
WANZONGYANGHUO10507,DEPARTURE,Port,SHANGHAI,2021-11-24 03:19 UTC,1h 2m,In Transit,Other Cargo,DRY BREAKBULK
